pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
15261,7342,6658,14.714.5,70.8,38.9,0.7531519575315195,0.2216323822163238,39031,9305,40722,66816,60.4,13.9,12.0,0.44243792325056436,74.0,10.2,0.24096385542168675,T5M
14579,7670,6912,13.614.2,72.1,39.0,0.8031604259704569,0.18138096873926485,49461,9830,47985,83825,55.3,15.4,6.5,0.5804806991988347,73.2,7.6,0.23005640612409348,T5N
21557,10130,9251,15.113.8,71.1,39.2,0.6801132342533617,0.28756782259966973,34208,13110,36869,63206,60.3,20.3,16.1,0.44975556762629004,68.7,10.7,0.29592406476828587,T5P
25867,10211,9848,15.618.5,65.9,41.6,0.7500500700981374,0.22070899258962548,42934,15515,42087,93104,53.2,12.7,6.9,0.6931407942238267,69.1,7.2,0.27239797150446754,T5R
4843,2086,1964,16.111.0,73.0,36.0,0.8793103448275862,0.10344827586206896,51797,3125,53015,99986,73.2,13.1,0.0,0.9336734693877551,75.4,6.4,0.2067620286085826,T5S
69914,27047,25910,19.211.3,69.5,35.8,0.6536662589047996,0.31424048355760237,42745,43900,43401,92226,67.8,17.5,10.8,0.6983758700696056,73.5,7.9,0.2415545057491755,T5T
146,52,49,17.210.3,72.4,40.5,0.7931034482758621,0.20689655172413793,0,0,0,108416,50.0,0,0.0,inf,75.0,22.2,0.24,T5V
20652,8971,8414,17.714.2,68.1,39.0,0.7707673568818514,0.205115712545676,37418,12070,40704,74406,56.0,15.3,17.6,0.6551312649164678,65.3,11.7,0.32459797498511017,T5W
41912,15073,14662,20.412.7,66.9,35.6,0.6418110812789847,0.32267512814254334,40615,23975,42555,90458,62.8,16.3,16.0,0.7469093406593407,68.2,8.7,0.29733477122169155,T5X
45947,17081,16083,21.07.0,71.9,32.7,0.642371766768961,0.3200350723366944,43233,28985,44398,96940,74.7,17.7,9.6,0.732583567635114,75.8,9.5,0.22656467315716272,T5Y
