pop1,pop2,pop3,pop4,pop5,pop6,lan1,lan2,inc1,inc2,inc3,inc4,own1,own2,own3,own4,lab1,lab2,lab3,fsa
42377,17227,16703,15.814.4,69.8,40.6,0.7724586288416075,0.20839243498817966,43824,27125,42364,96252,58.2,14.8,9.0,0.7837265577737447,71.2,10.5,0.25730747611017424,T2W
43339,15029,14543,20.89.6,69.6,36.4,0.7519878391019644,0.22532740879326474,49142,26635,49588,122127,74.3,14.4,12.2,0.8835286009648519,76.0,9.5,0.21334530221424297,T2X
61344,21111,20886,20.19.5,70.4,37.2,0.5852881078872089,0.37907642010625253,44109,38350,43998,109414,73.8,17.2,3.7,0.8433068973804374,74.7,10.3,0.2350765437172506,T2Y
68438,24669,24417,22.06.7,71.3,34.2,0.7838154522153058,0.19179787623581107,52960,44265,52595,117750,79.9,15.6,3.5,0.8787006578947368,79.8,8.3,0.17569987746253182,T2Z
53224,19393,18949,15.914.8,69.3,41.9,0.6065219434263697,0.3645334085142374,42627,32420,40936,111828,49.2,13.6,6.9,0.8151858687055101,66.1,10.1,0.30440097799511,T3A
37348,15638,15164,15.516.9,67.7,41.6,0.8164211674849973,0.16407528641571195,44841,22800,43467,93475,55.5,13.1,11.6,0.7139055222887558,68.7,10.0,0.2775206611570248,T3B
23519,12429,11111,13.411.2,75.4,35.8,0.7224160488443088,0.2533798517226341,43999,15720,44359,77165,62.8,17.2,10.6,0.46615523465703973,76.7,9.0,0.21031746031746032,T3C
41415,18806,17855,15.914.0,70.1,37.8,0.7958659491193738,0.18187377690802348,45022,26200,45474,87657,61.2,16.7,17.1,0.6225035161744022,73.3,9.1,0.24154660394001765,T3E
59025,21018,20685,18.611.5,70.0,38.5,0.6506557656276614,0.3190257196389031,45309,36140,46204,113563,64.1,14.4,8.0,0.8489243413101281,71.4,10.9,0.26335677548021413,T3G
71251,25098,24777,21.910.8,67.2,39.0,0.6862081128747796,0.2858553791887125,56439,41610,55901,147903,62.3,14.7,7.8,0.8931684573281978,70.7,10.3,0.2632151600326412,T3H
77605,20910,20223,24.36.9,68.8,32.5,0.32052356696111933,0.6149332645560642,29859,44610,30445,87555,85.1,26.2,7.8,0.7493167701863354,72.1,9.9,0.2732860923759925,T3J
